filename,measurementHeight,stemDiameter,easting,northing,utmZone,decimalLatitude,decimalLongitude,stemAzimuth,stemDistance,measurementHeight_inches,stemDiameter_inches,stemDistance_inches,stemAzimuth_rad,X,Y
2015-08,130.0,40.6,321901.47,4096668.34,11N,36.99931,-119.001514,283.2,9.1,51.18113,15.9842606,358.26791,4.942772441647941,-8.859568016145758,2.0779929180069643
2015-08,130.0,49.9,321901.47,4096668.34,11N,36.99931,-119.001514,188.0,16.6,51.18113,19.6456799,653.54366,3.2812189937493397,-2.310273475937088,-16.43844994111007
2015-08,130.0,18.3,321901.47,4096668.34,11N,36.99931,-119.001514,292.6,2.9,51.18113,7.204728300000001,114.17329,5.1068333913354085,-2.6773096296276444,1.1144564357134312
2015-08,130.0,43.3,321901.47,4096668.34,11N,36.99931,-119.001514,194.8,7.6,51.18113,17.0472533,299.21276,3.3999013828849542,-1.9413877603120098,-7.347857753393891
2015-08,130.0,21.5,321901.47,4096668.34,11N,36.99931,-119.001514,314.2,3.4,51.18113,8.4645715,133.85834,5.483824509766183,-2.4374960660116423,2.370361349705519
2015-08,130.0,68.8,321901.47,4096668.34,11N,36.99931,-119.001514,270.5,4.6,51.18113,27.0866288,181.10245999999998,4.721115626644662,-4.599824846095188,0.04014206329252084
2015-08,130.0,27.7,321901.47,4096668.34,11N,36.99931,-119.001514,16.5,9.2,51.18113,10.9055177,362.20491999999996,0.2879793265790644,2.612941171276088,8.821141560787375
2015-08,130.0,23.3,321901.47,4096668.34,11N,36.99931,-119.001514,293.4,10.0,51.18113,9.173233300000001,393.701,5.120796025351362,-9.177546256839815,3.9714789063477998
2015-08,130.0,61.6,321901.47,4096668.34,11N,36.99931,-119.001514,193.8,16.1,51.18113,24.2519816,633.8586100000001,3.3824480903650107,-3.8403886670151524,-15.635261906545143
2015-08,130.0,98.3,321901.47,4096668.34,11N,36.99931,-119.001514,179.1,15.2,51.18113,38.7008083,598.42552,3.1258846903218442,0.23875122313967478,-15.19812481372124
2015-08,130.0,36.7,321901.47,4096668.34,11N,36.99931,-119.001514,293.6,17.8,51.18113,14.448826700000001,700.78778,5.124286683855352,-16.311256586207865,7.12621277951273
2015-08,130.0,14.0,321901.47,4096668.34,11N,36.99931,-119.001514,205.6,6.4,51.18113,5.511814,251.96864000000002,3.5883969421003417,-2.7653487923326874,-5.771728168992729
2015-08,130.0,21.2,321901.47,4096668.34,11N,36.99931,-119.001514,199.5,10.8,51.18113,8.3464612,425.19708,3.4819318577286875,-3.6051140797247267,-10.180528103795528
2015-08,130.0,45.7,321901.47,4096668.34,11N,36.99931,-119.001514,181.2,14.6,51.18113,17.992135700000002,574.80346,3.162536604613725,-0.30575933029701025,-14.596797978732743
2015-08,130.0,17.5,321901.47,4096668.34,11N,36.99931,-119.001514,207.7,0.9,51.18113,6.8897675000000005,35.43309,3.625048856392222,-0.4183578411521573,-0.7968542631789745
2015-08,130.0,29.4,321901.47,4096668.34,11N,36.99931,-119.001514,294.9,9.5,51.18113,11.5748094,374.01595000000003,5.146975964131277,-8.61691813576892,3.9998402269911595
2015-08,130.0,29.7,321901.47,4096668.34,11N,36.99931,-119.001514,275.0,5.8,51.18113,11.692919700000001,228.34658,4.799655442984406,-5.777929248932124,0.5055033079364157
2015-08,130.0,47.0,321901.47,4096668.34,11N,36.99931,-119.001514,281.7,13.0,51.18113,18.503947,511.8113,4.916592502868026,-12.729896538082956,2.6362348396346564
2015-08,130.0,37.2,321901.47,4096668.34,11N,36.99931,-119.001514,346.9,5.0,51.18113,14.645677200000002,196.8505,6.054547175168329,-1.1332565371842764,4.869879836395258
2015-08,130.0,38.1,321901.47,4096668.34,11N,36.99931,-119.001514,196.4,12.5,51.18113,15.000008100000002,492.12625,3.427826650916863,-3.529268210535954,-11.99142468175072
2015-08,130.0,11.5,321901.47,4096668.34,11N,36.99931,-119.001514,282.2,4.1,51.18113,4.5275615,161.41741,4.925319149127998,-4.007405166572993,0.8664316654670929
2015-08,130.0,18.4,321901.47,4096668.34,11N,36.99931,-119.001514,25.7,10.6,51.18113,7.2440983999999995,417.32306,0.4485496177625427,4.59678629662797,9.55141642601417
2015-08,130.0,35.5,321812.37,4096787.87,11N,37.00037,-119.002543,25.8,12.0,51.18113,13.976385500000001,472.4412,0.45029494701453704,5.22277319246793,10.803825256826322
2015-08,130.0,44.5,321812.37,4096787.87,11N,37.00037,-119.002543,354.2,4.6,51.18113,17.5196945,181.10245999999998,6.181956210563915,-0.4648589670415539,4.5764512606124255
2015-08,130.0,89.7,321812.37,4096787.87,11N,37.00037,-119.002543,8.0,7.2,51.18113,35.3149797,283.46472,0.13962634015954636,1.002046326912471,7.129930094939307
2015-08,130.0,42.0,321812.37,4096787.87,11N,37.00037,-119.002543,156.5,16.7,51.18113,16.535442,657.48067,2.731440279371126,6.65910945105161,-15.314903242231571
2015-08,130.0,17.9,321812.37,4096787.87,11N,37.00037,-119.002543,158.4,14.6,51.18113,7.0472478999999995,574.80346,2.7646015351590183,5.374618469196295,-13.574736693968472
2015-08,130.0,82.3,321812.37,4096787.87,11N,37.00037,-119.002543,33.7,10.7,51.18113,32.4015923,421.26007,0.5881759579220891,5.936835373693593,8.901909106796163
2015-08,130.0,34.3,321812.37,4096787.87,11N,37.00037,-119.002543,133.0,9.6,51.18113,13.503944299999999,377.95296,2.321287905152458,7.020995535544038,-6.5471842565999845
2015-08,130.0,37.3,321812.37,4096787.87,11N,37.00037,-119.002543,148.1,18.3,51.18113,14.685047299999999,720.47283,2.584832622203602,9.670421525418956,-15.536181883613288
2015-08,130.0,64.4,321812.37,4096787.87,11N,37.00037,-119.002543,115.3,9.1,51.18113,25.354344400000002,358.26791,2.012364627549462,8.227151201913083,-3.8889565568234508
2015-08,130.0,27.8,321812.37,4096787.87,11N,37.00037,-119.002543,135.3,8.5,51.18113,10.9448878,334.64585,2.361430477948328,5.978854973889283,-6.041795527920436
2015-08,130.0,35.6,321812.37,4096787.87,11N,37.00037,-119.002543,315.0,6.2,51.18113,14.015755600000002,244.09462000000002,5.497787143782138,-4.384062043356596,4.384062043356594
2015-08,130.0,16.6,321901.27,4096908.88,11N,37.001477,-119.001573,198.9,5.9,51.18113,6.535436600000001,232.28359000000003,3.4714598822167217,-1.9111127673690829,-5.581903617082518
2015-08,130.0,27.7,321901.27,4096908.88,11N,37.001477,-119.001573,196.5,5.6,51.18113,10.9055177,220.47256,3.429571980168858,-1.5904859303419674,-5.36939051526188
2015-08,130.0,23.4,321901.27,4096908.88,11N,37.001477,-119.001573,235.1,7.1,51.18113,9.2126034,279.52771,4.103269071438668,-5.82307831870378,-4.062235701463168
2015-08,130.0,20.5,321901.27,4096908.88,11N,37.001477,-119.001573,272.1,5.3,51.18113,8.0708705,208.66153,4.749040894676571,-5.296440487026878,0.19421165614474933
2015-08,130.0,18.5,321901.27,4096908.88,11N,37.001477,-119.001573,344.1,4.3,51.18113,7.283468500000001,169.29143,6.005677956112488,-1.178024640377459,4.135487631061609
