uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"a65f5e4d-11aa-441e-8b08-7cc679176a77","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05915","5","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.1,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","0b231e3c-87bc-4fa0-93de-da36427e22b1",
"2a6209f6-5742-4ccd-9734-a88ba7e0ec1e","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09073","1","ok","sapling","Live",,,"noChange",0.4,,,,,,"Mostly shaded",,1.0,10,,,,,,,,,,,"Physical; Other drought stress","0000-0002-5872-682X","0000-0003-1699-6511","db7f3ae9-852e-4de0-85a6-989e45045120",
"08692828-b058-46c9-9e7b-db23d3d4c7e2","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02027","1","ok","sapling","Standing dead",,,"noChange",0.9,,,,,,"Partially shaded",,2.4,10,,,,,,,,,,,"Dead; Unknown cause of death. Possibly drought induced","0000-0002-5872-682X","0000-0003-1699-6511","90291166-d70d-4efd-9949-ae170e2feb2c",
"1ebec00f-3759-4322-8eb9-7b4b6dee012a","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02144","1","ok","small tree","Live",7.3,130,"noChange",3.7,,,,2.3,2.0,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","d5907760-40b6-4c6e-8210-a964c0258eee",
"ef053592-78cf-465e-83db-101c4e60b068","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02131","1",,,"Lost, fate unknown",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Lost; likely downed","0000-0002-5872-682X","0000-0003-1699-6511","0f1eb5c9-c65f-4f75-9ce0-e9cb1469fa28",
"8b9c231e-6f2c-424e-a65a-85502eefff7c","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02019","1","ok","sapling","Live",,,"noChange",0.8,,,,,,"Partially shaded",,2.1,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","d45f188e-3417-4b86-aa0f-63f56eae71df",
"cc2cf98c-b1aa-4fb4-9de7-849dc66f24f4","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.09342","17","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"oblate half-sphere",3.0,10,,,,,,,,,,,"Dead; Individual killed in wildland fire","0000-0002-5872-682X","0000-0003-1699-6511","4346f99b-9695-46be-94cd-b2b83fb04a8e",
"8fe93a1c-c7d4-417b-a541-c3bb04688794","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02014","1","ok","single bole tree","Live",13.3,130,"noChange",10.4,,,,1.9,1.6,"Partially shaded",,,,,,,,,,,,,,"Drought induced yellowing","0000-0002-5872-682X","0000-0003-1699-6511","4cd115c8-6915-4698-88cd-ed7fcdc7fc2c",
"569de3ac-c38e-474e-9e2c-a925ac192018","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02102","1","ok","sapling","Live",,,"noChange",1.4,,,,,,"Mostly shaded",,1.6,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","645fbce2-48a2-46b5-ad13-2df023ca75a3",
"da8b5615-9f92-457f-9f7d-b495afb07b7e","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09214","1","ok","sapling","Live",,,"noChange",0.5,,,,,,"Partially shaded",,1.4,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","cd8ad1a5-6fed-4a96-8919-5c08fae87beb",
